query,position,impressions,clicks,ctr,url
seo tools,3.5,1200,84,7.0,/seo-tools
keyword research,8.2,800,32,4.0,/keyword-research
backlink checker,15.6,450,9,2.0,/backlink-checker
on page seo,4.1,950,76,8.0,/on-page-seo
technical seo,12.3,600,18,3.0,/technical-seo
seo audit,6.8,720,43,6.0,/seo-audit
link building,18.9,380,7,1.8,/link-building
content optimization,5.2,890,62,7.0,/content-optimization
meta tags,2.8,1100,99,9.0,/meta-tags-guide
schema markup,9.7,520,26,5.0,/schema-markup
core web vitals,14.2,410,12,2.9,/core-web-vitals
mobile seo,7.5,680,40,5.9,/mobile-seo
local seo,11.8,530,21,4.0,/local-seo
seo strategy,3.9,1050,82,7.8,/seo-strategy
competitor analysis,16.4,390,11,2.8,/competitor-analysis
