page,sessions,users,pageviews,bounce_rate,avg_session_duration,conversions,conversion_rate,source,device,country
/,1245,1056,1890,42.5,145,32,2.6,organic,mobile,Australia
/,456,389,567,38.2,165,15,3.3,organic,desktop,Australia
/,87,76,102,55.2,98,2,2.3,organic,tablet,Australia
/sell-your-car-sydney/,567,498,823,38.7,178,28,4.9,organic,mobile,Australia
/sell-your-car-sydney/,234,201,312,35.2,195,14,6.0,organic,desktop,Australia
/sell-your-car-sydney/,45,41,58,48.9,142,3,6.7,organic,tablet,Australia
/sell-your-4wd-sydney/,342,301,498,45.3,156,18,5.3,organic,mobile,Australia
/sell-your-4wd-sydney/,156,138,204,41.0,168,9,5.8,organic,desktop,Australia
/sell-your-ute-sydney/,289,256,412,47.8,138,14,4.8,organic,mobile,Australia
/sell-your-ute-sydney/,123,109,167,43.5,152,7,5.7,organic,desktop,Australia
/about-us/,198,176,245,52.0,95,2,1.0,organic,mobile,Australia
/about-us/,87,78,102,48.3,105,1,1.1,organic,desktop,Australia
/contact/,234,198,289,68.4,72,8,3.4,organic,mobile,Australia
/contact/,98,84,115,62.2,85,5,5.1,organic,desktop,Australia
/faq/,412,367,598,36.4,245,0,0.0,organic,mobile,Australia
/faq/,189,168,256,34.9,268,0,0.0,organic,desktop,Australia
/blog/how-to-sell-car-quickly/,678,589,1234,72.5,45,3,0.4,organic,mobile,Australia
/blog/how-to-sell-car-quickly/,289,256,456,68.9,52,2,0.7,organic,desktop,Australia
/blog/car-valuation-tips/,545,478,878,70.2,48,2,0.4,organic,mobile,Australia
/blog/car-valuation-tips/,234,207,345,67.5,55,1,0.4,organic,desktop,Australia
/testimonials/,156,142,198,58.3,118,5,3.2,organic,mobile,Australia
/testimonials/,67,61,82,54.5,125,3,4.5,organic,desktop,Australia
/areas-we-service/,298,267,389,48.7,132,6,2.0,organic,mobile,Australia
/pricing-guide/,412,356,612,75.2,38,1,0.2,organic,mobile,Australia
/sell-luxury-car/,234,198,356,51.3,165,12,5.1,organic,mobile,Australia
/sell-luxury-car/,102,89,145,48.0,178,7,6.9,organic,desktop,Australia
/instant-quote/,889,756,1123,32.1,198,67,7.5,organic,mobile,Australia
/instant-quote/,423,367,534,28.8,215,38,9.0,organic,desktop,Australia
/instant-quote/,67,58,78,38.8,175,4,6.0,organic,tablet,Australia
